Prefix for use in doc-code	Doctype for use in doc-code	Serial number for use in doc-code	Doctype for doctype headings on page	Doctype sorting	Service	Industry	Part number (for RU only)	Chapter number (for RU only)	Subtype (for RU: part title)	Document title (for RU: chapter title)	Edition	Amended	History	L-DNV type	L-DNV code	Program	WP or Project
DNVGL	RP	1254	RP	11	Ship classification	Maritime				Structural Reliability Analysis of Marine Structures	2016-02			"CN;#12"	30.6	ORS	"WP 7 ;#7"
DNVGL	RP	1255	RP	11	Ship classification	Maritime				Fatigue Assessment of Ship Structures	2016-02			"CN;#12"	30.7	ORS	"WP 7 ;#7"
DNVGL	RP	1256	RP	11	Ship classification	Maritime				Strength Analysis of Hull Structures in High Speed and Light Craft	2016-02			"CN;#12"	30.8	ORS	"WP 8;#8"
DNVGL	RP	1257	RP	11	Ship classification	Maritime				Sloshing Analysis of LNG Membrane Tanks	2016-02			"CN;#12"	30.9	ORS	"WP 7 ;#7"
DNVGL	RP	1258	RP	11	Ship classification	Maritime				Extra High Strength Steel Material NV47 for Hull Structural Application in Container Ships	2016-02			"CN;#12"	30.10	ORS	"WP 7 ;#7"
DNVGL	RP	1259	RP	11	Ship classification	Maritime				Steel Sandwich Panel Construction	2016-02			"CN;#12"	30.11	ORS	"WP 7 ;#7"
DNVGL	RP	1260	RP	11	Ship classification	Maritime				Fatigue Strength and Ultimate Capacity Check of Container Vessels Including the Effect of Springing and Whipping	2016-02			"CN;#12"	30.12	ORS	"WP 7 ;#7"
DNVGL	RP	1261	RP	11	Ship classification	Maritime				Strength Analysis of Hull Structures in Bulk Carriers	2016-02			"CN;#12"	31.1	ORS	"WP 7 ;#7"
DNVGL	RP	1262	RP	11	Ship classification	Maritime				Strength Analysis of Hull Structures in Roll on/Roll off Ships and Car Carriers	2016-02			"CN;#12"	31.2	ORS	"WP 7 ;#7"
DNVGL	RP	1263	RP	11	Ship classification	Maritime				Strength Analysis of Hull Structures in Tankers	2016-02			"CN;#12"	31.3	ORS	"WP 7 ;#7"
DNVGL	RP	1264	RP	11	Ship classification	Maritime				Strength Analysis of Hull Structures in Container Ships	2016-02			"CN;#12"	31.7	ORS	"WP 7 ;#7"
DNVGL	RP	1265	RP	11	Ship classification	Maritime				Direct Strength Analysis of Hull Structures in Passenger Ships	2015-10			"CN;#12"	31.8	ORS	"WP 7 ;#7"
DNVGL	RP	1266	RP	11	Ship classification	Maritime				Strength Analysis of Hull Structure in Liquefied Gas Carriers with Membrane Tanks	2015-10			"CN;#12"	31.9	ORS	"WP 7 ;#7"
DNVGL	RP	1267	RP	11	Ship classification	Maritime				Strength Analysis of Liquefied Gas Carriers with Independent Type A Prismatic Tanks	2015-10			"CN;#12"	31.11	ORS	"WP 7 ;#7"
DNVGL	RP	1268	RP	11	Ship classification	Maritime				Strength Analysis of Liquefied Gas Carriers with Independent Type B Prismatic Tanks	2015-10			"CN;#12"	31.12	ORS	"WP 7 ;#7"
DNVGL	RP	1269	RP	11	Ship classification	Maritime				Strength Analysis of Independent Type C Tanks	2015-10			"CN;#12"	31.13	ORS	"WP 7 ;#7"
DNVGL	RP	1270	RP	11	Ship classification	Maritime				Strength Analysis of Rudder Arrangements	2015-10			"CN;#12"	32.1	ORS	"WP 7 ;#7"
DNVGL	RP	1271	RP	11	Ship classification	Maritime				Container Securing	2015-10			"CN;#12"	32.2	ORS	"WP 7 ;#7"
DNVGL	RP	1272	RP	11	Ship classification	Maritime				Corrosion Prevention of Tanks and Holds	2015-10			"CN;#12"	33.1	ORS	"WP 5;#5"
DNVGL	RP	1273	RP	11	Ship classification	Maritime				CSA - Direct Analysis of ship structures	2015-10			"CN;#12"	34.1	ORS	"WP 7 ;#7"
DNVGL	RP	1274	RP	11	Ship classification	Maritime				PLUS - extended fatigue analysis of ship details	2015-10			"CN;#12"	34.2	ORS	"WP 7 ;#7"
DNVGL	RP	1275	RP	11	Ship classification	Maritime				Calculation of Gear Rating for Marine Transmission	2015-10			"CN;#12"	41.2	ORS	"WP 6;#6"
DNVGL	RP	1276	RP	11	Ship classification	Maritime				Calculation of Crankshafts for Diesel Engines	2015-10			"CN;#12"	41.3	ORS	"WP 6;#6"
DNVGL	RP	1277	RP	11	Ship classification	Maritime				Calculation of Shafts in Marine Applications	2015-10			"CN;#12"	41.4	ORS	"WP 6;#6"
DNVGL	RP	1278	RP	11	Ship classification	Maritime				Calculation of Marine Propellers	2015-10			"CN;#12"	41.5	ORS	"WP 6;#6"
DNVGL	RP	1279	RP	11	Ship classification	Maritime				Schematic principles for Steering Gear Hydraulics	2015-10			"CN;#12"	41.6	ORS	"WP 6;#6"
DNVGL	RP	1280	RP	11	Ship classification	Maritime				Ice Strengthening of Propulsion Machinery	2015-10			"CN;#12"	51.1	ORS	"WP 6;#6"
DNVGL	RP	1281	RP	11	Ship classification	Maritime				Shock Testing of Equipment and Systems – Naval Applications	2015-10			"CN;#12"	57.1	ORS	"WP 6;#6"
DNVGL	RP	1282	RP	11	Ship classification	Maritime				Full Scale Testing of Escort Vessels	2015-10			"CN;#12"	57.2	ORS	"WP 7 ;#7"
DNVGL	RP	1283	RP	11	Ship classification	Maritime				Cargo Vapour Recovery Systems	2015-10			"CN;#12"	61.1	ORS	"WP 6;#6"
DNVGL	RP	1284	RP	11	Ship classification	Maritime				LNG Boil-off Re-Liquefaction Plants and Gas Combustion Units	2015-10			"CN;#12"	61.2	ORS	"WP 6;#6"
DNVGL	RP	1285	RP	11	Ship classification	Maritime				Regasification Vessels	2015-10			"CN;#12"	61.3	ORS	"WP 6;#6"
DNVGL	RP	1286	RP	11	Ship classification	Maritime				Guidance for the Environmental Class Notations CLEAN and CLEAN design	2015-10			"CN;#12"	62.1	ORS	"WP 6;#6"
DNVGL	RP	1287	RP	11	Ship classification	Maritime				Allowable Thickness Diminution for Hull Structure	2015-10			"CN;#12"	72.1	ORS	"WP 2;#2"
DNVGL	RP	1288	RP	11	Ship classification	Maritime				Assessment of Ships and Managers for the Acceptance of Extended Interval between Bottom Sureveys in Dry-Dock	2015-10			"CN;#12"	72.2	ORS	"WP 2;#2"
DNVGL	RP	1289	RP	11	Ship classification	Maritime				Design and Classification of Roll on/ Roll off Ships	2015-10			"GL;#11"	1	ORS	"WP 7 ;#7"
DNVGL	RP	1290	RP	11	Ship classification	Maritime				Safety and Quality Management	2015-10			"GL;#11"	7	ORS	"WP 2;#2"
DNVGL	RP	1291	RP	11	Ship classification	Maritime				Advisory service - Condition Survey Programme	2015-10			"GL;#11"	9	ORS	"WP 2;#2"
DNVGL	RP	1292	RP	11	Ship classification	Maritime				Ultrasonic Thickness Measurements of Ships classed with DNV	2015-10			"GL;#11"	10	ORS	"WP 2;#2"
DNVGL	RP	1293	RP	11	Ship classification	Maritime				Erosion and Corrosion in Piping systems for Sea water	2015-10			"GL;#11"	15	ORS	"WP 5;#5"
DNVGL	RP	1294	RP	11	Ship classification	Maritime				Delivery of Courses in Maritime education and training Institutions	2015-10			"GL;#11"	18		
DNVGL	RP	1295	RP	11	Ship classification	Maritime				Qualification and Approval of Hybrid laser-arc welding in Shipbuilding	2015-10			"GL;#11"	19	ORS	"WP 5;#5"
DNVGL	RP	1296	RP	11	Ship classification	Maritime				Corrosion protection of Ships (recommended practice)	2015-10			"GL;#11"	20	ORS	"WP 5;#5"
DNVGL	RP	1297	RP	11	Ship classification	Maritime				Fishing Vessel - Safety Certificate	2015-10			"GL;#11"	21	FIS	"Statutory certification;#13"
DNVGL	RP	1298	RP	11	Ship classification	Maritime				Lay-up of Vessels	2015-10			"GL;#11"	22	ORS	"WP 2;#2"
DNVGL	RP	1299	RP	11	Ship classification	Maritime				Plan Approval Documentation Types - Definitions	2015-10			"RP;#8"	A201	ORS	"WP 4;#4"
DNVGL	RP	1300	RP	11	Offshore classification	Maritime				Quality Survey Plan (QSP) for Offshore Class New-building Surveys	2015-12			"RP;#8"	A204	Offshore	"Offshore;#11"
DNVGL	RP	1301	RP	11	Offshore classification	Maritime				Offshore Classification Projects - Testing and Commissioning	2015-12			"RP;#8"	A205	Offshore	"Offshore;#11"
DNVGL	RP	1302	RP	11	Offshore classification	Maritime				Corrosion Protection of Floating Production and Storage Units	2015-12			"RP;#8"	B101	Offshore	"Offshore;#11"
DNVGL	RP	1303	RP	11	Offshore classification	Maritime				Cathodic Protection Design	2015-12			"RP;#8"	B401	Offshore	"Offshore;#11"
DNVGL	RP	1304	RP	11	Offshore classification	Maritime				Allowable thickness Diminution for Hull Structure of Offshore Ships	2015-12			"RP;#8"	C101	Offshore	"Offshore;#11"
DNVGL	RP	1305	RP	11	Offshore classification	Maritime				Structural Design of Offshore Ships	2015-12			"RP;#8"	C102	Offshore	"Offshore;#11"
DNVGL	RP	1306	RP	11	Offshore classification	Maritime				Column Stabilised Units	2015-12			"RP;#8"	C103	Offshore	"Offshore;#11"
DNVGL	RP	1307	RP	11	Offshore classification	Maritime				Self-elevating units	2015-12			"RP;#8"	C104	Offshore	"Offshore;#11"
DNVGL	RP	1308	RP	11	Offshore classification	Maritime				Buckling Strength of Plated Structures	2015-12			"RP;#8"	C201	Offshore	"Offshore;#11"
DNVGL	RP	1309	RP	11		Maritime				Buckling Strength of Shells	2015-12			"RP;#8"	C202	Offshore	"Offshore;#11"
DNVGL	RP	1310	RP	11		Maritime				Fatigue Strength Analysis of Offshore Steel Structures	2015-12			"RP;#8"	C203	Offshore	"Offshore;#11"
DNVGL	RP	1311	RP	11	Offshore classification	Maritime				Design against Accidental Loads	2015-12			"RP;#8"	C204	Offshore	"Offshore;#11"
DNVGL	RP	1312	RP	11		Maritime				Environmental Conditions and Environmental Loads	2015-12			"RP;#8"	C205	Offshore	"Offshore;#11"
DNVGL	RP	1313	RP	11	Offshore classification	Maritime				Fatigue Methodology of Offshore Ships	2015-12			"RP;#8"	C206	Offshore	"Offshore;#11"
DNVGL	RP	1314	RP	11		Maritime				Statistical Representation of Soil Data	2015-12			"RP;#8"	C207	Offshore	"Offshore;#11"
DNVGL	RP	1315	RP	11		Maritime				Determination of Structural Capacity by Non-linear FE analysis Methods	2015-12			"RP;#8"	C208	Offshore	"Offshore;#11"
DNVGL	RP	1316	RP	11	Offshore classification	Maritime				Design, Fabrication, Operation and Qualification of Bonded Repair of Steel Structures	2015-12			"RP;#8"	C301	Offshore	"Offshore;#11"
DNVGL	RP	1317	RP	11	Offshore classification	Maritime				Risk Based Corrosion Management	2015-12			"RP;#8"	C302	Offshore	"Offshore;#11"
DNVGL	RP	1318	RP	11		Maritime				Structural Analysis of Piping Systems	2015-12			"RP;#8"	D101	Offshore	"Offshore;#11"
DNVGL	RP	1319	RP	11	Ship classification	Maritime				Failure Mode and Effect Analysis (FMEA) of Redundant Systems	2015-12			"RP;#8"	D102	Offshore	"Offshore;#11"
DNVGL	RP	1320	RP	11		Maritime				D201: Integrated Software Dependent Systems	2015-12			"RP;#8"	D201	Offshore	"Offshore;#11"
DNVGL	RP	1321	RP	11		Maritime				E101: Recertification of Well Control Equipment for the Norwegian Continental Shelf	2015-12			"RP;#8"	E101	Offshore	"Offshore;#11"
DNVGL	RP	1322	RP	11		Maritime				E102: Recertification of Blowout Preventers and Well Control Equipment for the US Outer Continental Shelf	2015-12			"RP;#8"	E102	Offshore	"Offshore;#11"
DNVGL	RP	1323	RP	11		Maritime				E301: Design and Installation of Fluke Anchors in Clay	2015-12			"RP;#8"	E301	Offshore	"Offshore;#11"
DNVGL	RP	1324	RP	11		Maritime				E302: Design and Installation of Drag-in-plate Anchors in Clay	2015-12			"RP;#8"	E302	Offshore	"Offshore;#11"
DNVGL	RP	1325	RP	11		Maritime				Geotechnical Design and Installation of Suction Anchors in Clay	2015-12			"RP;#8"	E303	Offshore	"Offshore;#11"
DNVGL	RP	1326	RP	11		Maritime				Damage Assessment of Fibre Ropes for Offshore Mooring	2015-12			"RP;#8"	E304	Offshore	"Offshore;#11"
DNVGL	RP	1327	RP	11	Offshore classification	Maritime				Dynamic Positioning Vessel Design Philosophy Guidelines	2015-12			"RP;#8"	E306	Offshore	"Offshore;#11"
DNVGL	RP	1328	RP	11	Offshore classification	Maritime				Dynamic Positioning Systems - Operation Guidance	2015-12			"RP;#8"	E307	Offshore	"Offshore;#11"
DNVGL	RP	1329	RP	11	Ship classification	Maritime				Survey of Diving Systems	2016-01			"RP;#8"	E401	ORS	"WP 8;#8"
DNVGL	RP	1330	RP	11	Ship classification	Maritime				Naval Rescue Submersibles	2016-02			"RP;#8"	E402	ORS	"WP 8;#8"
DNVGL	RP	1331	RP	11	Ship classification	Maritime				Hyperbaric Evacuation Systems	2016-02			"RP;#8"	E403	ORS	"WP 8;#8"
DNVGL	RP	1332	RP	11		Maritime				F101: Corroded Pipelines	2016-01			"RP;#8"	F101		
DNVGL	RP	1333	RP	11		Maritime				F102: Pipeline Field Joint Coating and Field Repair of Linepipe Coating	2016-01			"RP;#8"	F102		
DNVGL	RP	1334	RP	11		Maritime				F103: Cathodic Protection of Submarine Pipelines by Galvanic Anodes	2016-01			"RP;#8"	F103		
DNVGL	RP	1335	RP	11		Maritime				Free Spanning Pipelines	2016-01			"RP;#8"	F105		
DNVGL	RP	1336	RP	11		Maritime				Factory Applied Pipeline Coatings for Corrosion Control	2016-01			"RP;#8"	F106		
DNVGL	RP	1337	RP	11		Maritime				Risk Assessment of Pipeline Protection	2016-01			"RP;#8"	F107		
DNVGL	RP	1338	RP	11		Maritime				Fracture Control for Pipeline Installation Methods Introducing Cyclic Plastic Strain	2016-01			"RP;#8"	F108		
DNVGL	RP	1339	RP	11		Maritime				On-Bottom Stability Design of Submarine Pipelines	2016-01			"RP;#8"	F109		
DNVGL	RP	1340	RP	11		Maritime				Global Buckling of Submarine Pipelines - Structural Design due to High Temperature/High Pressure	2016-01			"RP;#8"	F110		
DNVGL	RP	1341	RP	11		Maritime				Interference Between Trawl Gear and Pipelines	2016-01			"RP;#8"	F111		
DNVGL	RP	1342	RP	11		Maritime				Design of Duplex Stainless Steel Subsea Equipment exposed to Cathodic Protection	2016-01			"RP;#8"	F112		
DNVGL	RP	1343	RP	11		Maritime				Pipeline Subsea Repair	2016-01			"RP;#8"	F113		
DNVGL	RP	1344	RP	11		Maritime				Integrity Management of Submarine Pipeline Systems	2016-01			"RP;#8"	F116		
DNVGL	RP	1345	RP	11		Maritime				Pipe Girth Weld AUT System Qualification and Project Specific Procedure Validation	2016-01			"RP;#8"	F118		
DNVGL	RP	1346	RP	11		Maritime				Design of Titanium Risers	2015-11			"RP;#8"	F201	Offshore	"Offshore;#11"
DNVGL	RP	1347	RP	11		Maritime				Composite Risers	2015-11			"RP;#8"	F202	Offshore	"Offshore;#11"
DNVGL	RP	1348	RP	11		Maritime				Riser Interference	2015-11			"RP;#8"	F203	Offshore	"Offshore;#11"
DNVGL	RP	1349	RP	11		Maritime				Riser Fatigue	2015-11			"RP;#8"	F204	Offshore	"Offshore;#11"
DNVGL	RP	1350	RP	11		Maritime				Global Performance Analysis of Deepwater Floating Structures	2015-11			"RP;#8"	F205	Offshore	"Offshore;#11"
DNVGL	RP	1351	RP	11		Maritime				Riser Integrity Management	2015-11			"RP;#8"	F206	Offshore	"Offshore;#11"
DNVGL	RP	1352	RP	11		Maritime				Subsea Separator Structural Design	2015-11			"RP;#8"	F301	Offshore	"Offshore;#11"
DNVGL	RP	1353	RP	11		Maritime				Selection and Use of Subsea Leak Detection Systems	2015-11			"RP;#8"	F302	Offshore	"Offshore;#11"
DNVGL	RP	1354	RP	11		Maritime				Electrical Power Cables in Subsea Applications	2015-11			"RP;#8"	F401	Offshore	"Offshore;#11"
DNVGL	RP	1355	RP	11		Maritime				Risk Based Inspection of Offshore Topsides Static Mechanical Equipment	2015-11			"RP;#8"	G101	Offshore	"Offshore;#11"
DNVGL	RP	1356	RP	11		Maritime				Non-intrusive Inspection	2015-11			"RP;#8"	G103	Offshore	"Offshore;#11"
DNVGL	RP	1357	RP	11		Maritime				H101: Risk Management in Marine and Sub-sea Operations	2015-11			"RP;#8"	H101	Offshore	"Offshore;#11"
DNVGL	RP	1358	RP	11		Maritime				H102: Marine operations during Removal of Offshore Installations	2015-11			"RP;#8"	H102	Offshore	"Offshore;#11"
DNVGL	RP	1359	RP	11		Maritime				H103: Modelling and Analysis of Marine Operations	2015-11			"RP;#8"	H103	Offshore	"Offshore;#11"
DNVGL	RP	1360	RP	11		Maritime				Ballast, Stability, and Watertight Integrity - Planning and Operating Guidance	2015-11			"RP;#8"	H104	Offshore	"Offshore;#11"
DNVGL	RP	1361	RP	11		Maritime				Recommended Practice for use of remote sensing for wind energy assessments	2016-01			"RP;#8"	J101		
DNVGL	RP	1362	RP	11		Maritime				Qualification Procedures for CO2 Capture Technology	2016-01			"RP;#8"	J201		
DNVGL	RP	1363	RP	11		Maritime				Design and Operation of CO2 Pipelines	2016-01			"RP;#8"	J202		
DNVGL	RP	1364	RP	11		Maritime				Geological Storage of Carbon Dioxide	2016-01			"RP;#8"	J203		
DNVGL	RP	1365	RP	11		Maritime				Safety and Reliability of Subsea Systems	2016-01			"RP;#8"	O401	Offshore	"Offshore;#11"
DNVGL	RP	1366	RP	11		Maritime				Erosive Wear in Piping Systems	2016-01			"RP;#8"	O501	Offshore	"Offshore;#11"
DNVGL	RP	1367	RP	11		Maritime				Risk Management of Shale Gas Developments and Operations	2016-01			"RP;#8"	U301		
DNVGL	RP	1239	RP	11	Renewables certification	Energy				Remote sensing of Wind Turbines	2016-02						
DNVGL	RP	1240	RP	11	Renewables certification	Energy				Electromagnetic Compatibility of Wind Turbines	2016-02						
DNVGL	RP	1241	RP	11	Renewables certification	Energy				Certification of Wind Turbines for Tropical Cyclone Conditions	2016-02						
DNVGL	RP	1242	RP	11	Renewables certification	Energy				Turbines in Ice Conditions	2016-02						
DNVGL	RP	1243	RP	11	Renewables certification	Energy				Wind Turbines in Cold climate conditions	2016-02						
DNVGL	RP	1244	RP	11	Renewables certification	Energy				Wind Turbines in Hot climate conditions	2016-02						
DNVGL	RP	1245	RP	11	Renewables certification	Energy				GCC Test of Frequency Converter in the Lab (TFCL)	2016-02						
DNVGL	RP	1246	RP	11	Renewables certification	Energy				Vertical Axis Wind Turbines	2016-02						
DNVGL	RU	1948	RU-FLOAT	4	Ship classification	Maritime	1	1		Rules for Floating Docks	2015-07						
DNVGL	RU	1851	RU-HSLC	2	Ship classification	Maritime	1	1	General regulations	General regulations	2015-07						
DNVGL	RU	1852	RU-HSLC	2	Ship classification	Maritime	1	2	General regulations	Class notations	2015-07						
DNVGL	RU	1853	RU-HSLC	2	Ship classification	Maritime	1	3	General regulations	Documentation and certification types	2015-07						
DNVGL	RU	1854	RU-HSLC	2	Ship classification	Maritime	1	4	General regulations	Safety objectives and equivalent requirements	2015-07						
DNVGL	RU	1855	RU-HSLC	2	Ship classification	Maritime	2	1	Materials and welding	Materials - general	2015-07						
DNVGL	RU	1856	RU-HSLC	2	Ship classification	Maritime	2	2	Materials and welding	Metallic materials	2015-07						
DNVGL	RU	1857	RU-HSLC	2	Ship classification	Maritime	2	3	Materials and welding	Non- metallic materials	2015-07						
DNVGL	RU	1858	RU-HSLC	2	Ship classification	Maritime	2	4	Materials and welding	Fabrication and testing	2015-07						
DNVGL	RU	1859	RU-HSLC	2	Ship classification	Maritime	3	1	Structures, equipment	Design principles, design loads	2015-07						
DNVGL	RU	1860	RU-HSLC	2	Ship classification	Maritime	3	2	Structures, equipment	Hull structural design, steel	2015-07						
DNVGL	RU	1861	RU-HSLC	2	Ship classification	Maritime	3	3	Structures, equipment	Hull structural design, aluminium	2015-07						
DNVGL	RU	1862	RU-HSLC	2	Ship classification	Maritime	3	4	Structures, equipment	Hull structural design, fibre composite and sandwich constructions	2015-07						
DNVGL	RU	1863	RU-HSLC	2	Ship classification	Maritime	3	5	Structures, equipment	Equipment, steering and appendages	2015-07						
DNVGL	RU	1864	RU-HSLC	2	Ship classification	Maritime	3	6	Structures, equipment	Stability and watertight integrity, closing appliances	2015-07						
DNVGL	RU	1865	RU-HSLC	2	Ship classification	Maritime	3	7	Structures, equipment	Accommodation and escape measures	2015-07						
DNVGL	RU	1866	RU-HSLC	2	Ship classification	Maritime	3	8	Structures, equipment	Life-saving appliances and arrangements	2015-07						
DNVGL	RU	1867	RU-HSLC	2	Ship classification	Maritime	3	9	Structures, equipment	Direct calculation methods	2015-07						
DNVGL	RU	1868	RU-HSLC	2	Ship classification	Maritime	4	1	Systems and components	Machinery systems - general	2015-07						
DNVGL	RU	1869	RU-HSLC	2	Ship classification	Maritime	4	2	Systems and components	Rotating machinery - general	2015-07						
DNVGL	RU	1870	RU-HSLC	2	Ship classification	Maritime	4	3	Systems and components	Rotating machinery - drivers	2015-07						
DNVGL	RU	1871	RU-HSLC	2	Ship classification	Maritime	4	4	Systems and components	Rotating machinery - power transmission	2015-07						
DNVGL	RU	1872	RU-HSLC	2	Ship classification	Maritime	4	5	Systems and components	Rotating machinery - driven units	2015-07						
DNVGL	RU	1873	RU-HSLC	2	Ship classification	Maritime	4	6	Systems and components	Piping systems	2015-07						
DNVGL	RU	1874	RU-HSLC	2	Ship classification	Maritime	4	7	Systems and components	Pressure vessels	2015-07						
DNVGL	RU	1875	RU-HSLC	2	Ship classification	Maritime	4	8	Systems and components	Electrical installations	2015-07						
DNVGL	RU	1876	RU-HSLC	2	Ship classification	Maritime	4	9	Systems and components	Control and monitoring systems	2015-07						
DNVGL	RU	1877	RU-HSLC	2	Ship classification	Maritime	4	10	Systems and components	Steering gear	2015-07						
DNVGL	RU	1878	RU-HSLC	2	Ship classification	Maritime	4	11	Systems and components	Fire safety	2015-07						
DNVGL	RU	1879	RU-HSLC	2	Ship classification	Maritime	4	12	Systems and components	Control and monitoring of propulsion, directional control, stabilisation and auxiliary systems	2015-07						
DNVGL	RU	1880	RU-HSLC	2	Ship classification	Maritime	5	1	Ship types	Passenger craft	2015-07						
DNVGL	RU	1881	RU-HSLC	2	Ship classification	Maritime	5	2	Ship types	Car ferry	2015-07						
DNVGL	RU	1882	RU-HSLC	2	Ship classification	Maritime	5	3	Ship types	Cargo	2015-07						
DNVGL	RU	1883	RU-HSLC	2	Ship classification	Maritime	5	4	Ship types	Crew boats	2015-07						
DNVGL	RU	1884	RU-HSLC	2	Ship classification	Maritime	5	5	Ship types	Patrol boats	2015-07						
DNVGL	RU	1885	RU-HSLC	2	Ship classification	Maritime	5	6	Ship types	Small service crafts	2015-07						
DNVGL	RU	1886	RU-HSLC	2	Ship classification	Maritime	5	7	Ship types	Naval vessels	2015-07						
DNVGL	RU	1888	RU-HSLC	2	Ship classification	Maritime	6	1	Additional class notations	Structural strength and integrity	2015-07						
DNVGL	RU	1889	RU-HSLC	2	Ship classification	Maritime	6	2	Additional class notations	Propulsion, power generation and auxiliary systems	2015-07						
DNVGL	RU	1895	RU-HSLC	2	Ship classification	Maritime	6	3	Additional class notations	Navigation and manoeuvring	2015-07						
DNVGL	RU	1897	RU-HSLC	2	Ship classification	Maritime	6	4	Additional class notations	Equipment and design features	2015-07						
DNVGL	RU	1900	RU-HSLC	2	Ship classification	Maritime	6	5	Additional class notations	Environmental protection and pollution control	2015-07						
DNVGL	RU	1904	RU-HSLC	2	Ship classification	Maritime	6	6	Additional class notations	Living and working conditions	2015-07						
DNVGL	RU	1905	RU-HSLC	2	Ship classification	Maritime	6	7	Additional class notations	Survey arrangements	2015-07						
DNVGL	RU	1910	RU-HSLC	2	Ship classification	Maritime	6	8	Additional class notations	Naval 	2015-07						
DNVGL	RU	1911	RU-HSLC	2	Ship classification	Maritime	7	1	Fleet in service	Survey requirements	2015-07						
DNVGL	RU	1912	RU-HSLC	2	Ship classification	Maritime	7	2	Fleet in service	Retroactive requirements	2015-07						
DNVGL	RU	1913	RU-INV	3	Ship classification	Maritime	1	1	General regulations	General regulations	2015-07						
DNVGL	RU	1914	RU-INV	3	Ship classification	Maritime	1	2	General regulations	Class notations	2015-07						
DNVGL	RU	1915	RU-INV	3	Ship classification	Maritime	2	1	Materials and welding	Materials - general	2015-07						
DNVGL	RU	1916	RU-INV	3	Ship classification	Maritime	2	2	Materials and welding	Metallic materials	2015-07						
DNVGL	RU	1917	RU-INV	3	Ship classification	Maritime	2	3	Materials and welding	Non- metallic materials	2015-07						
DNVGL	RU	1918	RU-INV	3	Ship classification	Maritime	2	4	Materials and welding	Fabrication and testing	2015-07						
DNVGL	RU	1919	RU-INV	3	Ship classification	Maritime	2	5	Materials and welding	Materials for INV	2015-07						
DNVGL	RU	1920	RU-INV	3	Ship classification	Maritime	3	1	Structures, equipment	Hull design and construction, general	2015-07						
